Job_title 
Fachspezialist:in / Projektleiter:in Leittechnik / Steuerung, 60-100%, Zollikofen / Work Smart
Spécialist·e / chef·fe de projet technique de commande, 60-100%, Zollikofen / Work Smart
Ingénieur·e Electrique / Electronique Composants, 60-100%, Yverdon-les-Bains
Conducteur·trice de travaux de la voie ferrée, 60-100%, Renens (VD) / Work Smart
Esperto/a SAP, 60-100%, Belllinzona
Verniciatore/trice (AFC) carrozzeria, 60-100%, Bellinzona
Ingénieur·e Conception Bancs de tests, 60-100%, Yverdon-les-Bains
Lokführer:in Kat. B Cargo, 80-100%, Dietikon
KAIZEN Head Coach (m/w), 60-100%, Olten / Work Smart
Aspirant·e spécialiste de la planification des opérations 08/2023, 100%, Renens
Fachspezialist:in / Projektleiter:in Leittechnik / Steuerung, 60-100%, Zollikofen / Work Smart
Spécialist·e / chef·fe de projet technique de commande, 60-100%, Zollikofen / Work Smart
Ingénieur·e Electrique / Electronique Composants, 60-100%, Yverdon-les-Bains
Conducteur·trice de travaux de la voie ferrée, 60-100%, Renens (VD) / Work Smart
Esperto/a SAP, 60-100%, Belllinzona
Verniciatore/trice (AFC) carrozzeria, 60-100%, Bellinzona
Ingénieur·e Conception Bancs de tests, 60-100%, Yverdon-les-Bains
Lokführer:in Kat. B Cargo, 80-100%, Dietikon
KAIZEN Head Coach (m/w), 60-100%, Olten / Work Smart
Aspirant·e spécialiste de la planification des opérations 08/2023, 100%, Renens
